,yearID,franchID,WSWin,R,H,HR,BB,SB,ERA,HA,HRA,BBA,SOA,E,WP
0,1905,BOS,N,579,1179,29,486,131.0,2.84,1198,33,292,652,290,50
1,1905,LAD,N,506,1255,29,327,186.0,3.76,1416,24,476,556,408,30
2,1905,ATL,N,468,1217,17,302,132.0,3.52,1390,36,433,533,311,32
3,1905,CHW,N,612,1213,11,439,194.0,1.99,1163,11,329,613,217,58
4,1905,CHC,N,667,1249,12,448,267.0,2.04,1135,14,385,627,246,59
5,1905,CIN,N,735,1401,27,434,181.0,3.01,1409,22,439,547,310,50
6,1905,CLE,N,567,1318,18,286,188.0,2.85,1251,23,334,555,233,49
7,1905,DET,N,512,1209,13,375,129.0,2.83,1226,11,474,578,264,51
8,1905,SFG,Y,780,1392,39,517,291.0,2.39,1160,25,364,760,253,67
9,1905,NYY,N,586,1228,23,360,200.0,2.93,1235,26,396,642,293,46
10,1905,OAK,N,623,1310,24,376,190.0,2.19,1137,21,409,895,265,60
11,1905,PHI,N,708,1362,16,406,180.0,2.81,1303,21,411,516,275,53
12,1905,PIT,N,692,1385,22,382,202.0,2.86,1270,12,389,512,255,61
13,1905,BAL,N,511,1205,16,362,130.0,2.74,1245,19,389,633,284,34
14,1905,STL,N,535,1254,20,391,162.0,3.59,1431,28,367,411,274,37
15,1905,MIN,N,559,1121,22,298,169.0,2.87,1250,12,385,539,319,41
16,1906,BOS,N,463,1223,13,298,99.0,3.41,1360,37,285,549,333,31
17,1906,LAD,N,496,1156,25,388,175.0,3.13,1255,15,453,476,283,43
18,1906,ATL,N,408,1115,16,356,93.0,3.14,1291,24,436,562,337,32
19,1906,CHW,Y,570,1133,7,453,214.0,2.13,1212,11,255,543,243,60
20,1906,CHC,N,705,1316,20,448,283.0,1.75,1018,12,446,702,190,74
21,1906,CIN,N,533,1198,16,395,170.0,2.69,1248,14,470,567,260,41
22,1906,CLE,N,663,1516,12,330,203.0,2.09,1197,16,365,530,217,56
23,1906,DET,N,518,1195,10,333,206.0,3.06,1398,14,389,469,259,47
24,1906,SFG,N,625,1217,15,563,288.0,2.49,1207,13,394,639,228,62
25,1906,NYY,N,644,1354,17,331,192.0,2.78,1236,21,351,605,272,58
26,1906,OAK,N,561,1206,32,385,165.0,2.6,1135,9,425,749,267,52
27,1906,PHI,N,528,1183,12,432,180.0,2.58,1201,18,436,500,271,46
28,1906,PIT,N,623,1313,12,424,162.0,2.21,1234,13,309,532,220,60
29,1906,BAL,N,558,1244,20,366,221.0,2.23,1132,14,314,558,289,49
30,1906,STL,N,470,1195,10,361,110.0,3.04,1246,17,479,559,272,33
31,1906,MIN,N,518,1180,26,306,233.0,3.25,1331,15,451,558,273,36
32,1907,BOS,N,464,1224,18,305,125.0,2.45,1222,22,337,517,269,38
33,1907,LAD,N,446,1135,18,336,121.0,2.38,1218,16,463,479,262,42
34,1907,ATL,N,502,1222,22,413,118.0,3.33,1324,28,458,426,249,38
35,1907,CHW,N,588,1205,5,421,175.0,2.22,1279,13,305,604,232,55
36,1907,CHC,Y,574,1224,13,435,235.0,1.73,1054,11,402,586,211,69
37,1907,CIN,N,526,1226,15,372,158.0,2.41,1223,16,444,481,227,42
38,1907,CLE,N,530,1221,11,335,193.0,2.26,1253,8,362,513,264,53
39,1907,DET,N,694,1383,11,315,192.0,2.33,1281,8,380,512,264,60
40,1907,SFG,N,574,1222,23,516,205.0,2.45,1219,25,369,655,230,52
41,1907,NYY,N,605,1258,15,304,206.0,3.03,1327,13,428,511,336,46
42,1907,OAK,N,582,1274,22,384,137.0,2.35,1106,13,378,789,263,58
43,1907,PHI,N,512,1113,12,424,154.0,2.43,1095,13,422,499,256,55
44,1907,PIT,N,634,1261,19,469,264.0,2.3,1207,12,368,497,253,57
45,1907,BAL,N,542,1324,10,370,144.0,2.61,1254,17,352,463,266,44
46,1907,STL,N,419,1163,19,312,125.0,2.7,1212,20,500,594,350,33
47,1907,MIN,N,506,1243,12,390,223.0,3.11,1383,10,344,570,309,31
48,1908,BOS,N,564,1239,14,289,167.0,2.28,1200,18,364,624,296,48
49,1908,LAD,N,377,1044,28,323,113.0,2.47,1165,17,444,535,241,34
50,1908,ATL,N,537,1228,17,414,134.0,2.79,1262,29,423,416,252,40
51,1908,CHW,N,537,1127,3,463,209.0,2.22,1170,11,284,623,233,56
52,1908,CHC,Y,624,1267,19,418,212.0,2.14,1137,20,437,668,206,62
53,1908,CIN,N,489,1108,14,372,196.0,2.37,1218,19,415,433,255,47
54,1908,CLE,N,568,1221,18,364,177.0,2.02,1172,16,328,548,257,57
55,1908,DET,N,647,1347,19,320,165.0,2.4,1313,12,318,553,298,58
56,1908,SFG,N,652,1339,20,494,181.0,2.14,1214,26,288,656,248,62
57,1908,NYY,N,459,1190,13,288,231.0,3.16,1288,26,458,585,338,32
58,1908,OAK,N,486,1131,21,368,116.0,2.56,1194,10,410,741,272,43
59,1908,PHI,N,504,1223,11,334,200.0,2.1,1167,8,379,476,238,53
60,1908,PIT,N,585,1263,25,420,186.0,2.12,1142,16,406,468,225,63
61,1908,BAL,N,544,1261,20,343,126.0,2.15,1151,7,387,607,237,53
62,1908,STL,N,371,1105,17,282,150.0,2.64,1217,16,430,528,349,31
63,1908,MIN,N,479,1186,8,368,170.0,2.34,1236,16,348,649,276,43
64,1909,BOS,N,597,1307,20,348,215.0,2.59,1214,18,384,555,291,57
65,1909,LAD,N,444,1157,16,330,141.0,3.1,1277,32,528,594,276,35
66,1909,ATL,N,435,1121,15,400,135.0,3.2,1329,23,543,414,340,29
67,1909,CHW,N,492,1110,4,441,211.0,2.05,1182,8,340,669,247,49
68,1909,CHC,N,635,1227,20,420,187.0,1.75,1094,6,364,680,244,67
69,1909,CIN,N,606,1273,22,478,280.0,2.52,1233,5,510,477,309,49
70,1909,CLE,N,493,1216,10,283,174.0,2.4,1212,9,348,568,277,45
71,1909,DET,N,666,1360,19,397,280.0,2.26,1254,16,359,528,268,62
72,1909,SFG,N,623,1327,26,530,234.0,2.27,1248,28,397,735,305,58
73,1909,NYY,N,590,1234,16,407,187.0,2.65,1223,21,422,597,328,48
74,1909,OAK,N,605,1257,21,403,205.0,1.93,1069,9,386,728,245,62
75,1909,PHI,N,516,1228,12,369,185.0,2.44,1190,23,472,612,241,48
76,1909,PIT,Y,699,1332,25,479,185.0,2.07,1174,12,320,490,222,71
77,1909,BAL,N,441,1151,10,331,136.0,2.88,1287,16,383,620,267,39
78,1909,STL,N,583,1242,15,568,161.0,3.41,1368,22,483,435,321,35
79,1909,MIN,N,380,1112,9,321,136.0,3.04,1288,12,424,653,280,26
