,franchID,WSWIN,R,ERA,WP
0,ARI,0,752,5.09,0.426
1,ATL,0,649,4.51,0.422
2,BAL,0,744,4.22,0.549
3,BOS,0,878,4,0.574
4,CHC,1,808,3.15,0.64
5,CHW,0,686,4.1,0.481
6,CIN,0,716,4.91,0.42
7,CLE,0,777,3.84,0.584
8,COL,0,845,4.91,0.463
9,DET,0,750,4.24,0.534
10,HOU,0,724,4.06,0.519
11,KCR,0,675,4.21,0.5
12,LAA,0,717,4.28,0.457
13,LAD,0,725,3.7,0.562
14,MIA,0,655,4.05,0.491
15,MIL,0,671,4.08,0.451
16,MIN,0,722,5.08,0.364
17,NYM,0,671,3.57,0.537
18,NYY,0,680,4.16,0.519
19,OAK,0,653,4.51,0.426
20,PHI,0,610,4.63,0.438
21,PIT,0,729,4.21,0.484
22,SDP,0,686,4.43,0.42
23,SEA,0,768,4,0.531
24,SFG,0,715,3.65,0.537
25,STL,0,779,4.08,0.531
26,TBR,0,672,4.2,0.42
27,TEX,0,765,4.37,0.586
28,TOR,0,759,3.78,0.549
29,WSN,0,763,3.51,0.586
