,Percentage,Count,Frequency
0,50,115,0.052177858439201454
1,30,5,0.002268602540834846
2,32,20,0.009074410163339383
3,58,70,0.03176043557168784
4,59,67,0.030399274047186932
5,49,86,0.03901996370235935
6,51,110,0.0499092558983666
7,46,117,0.05308529945553539
8,60,47,0.02132486388384755
9,53,124,0.056261343012704176
10,61,35,0.01588021778584392
11,34,23,0.010435571687840291
12,37,38,0.017241379310344827
13,41,90,0.04083484573502722
14,31,8,0.003629764065335753
15,43,81,0.0367513611615245
16,74,1,0.00045372050816696913
17,56,91,0.04128856624319419
18,47,72,0.032667876588021776
19,62,37,0.01678765880217786
20,52,86,0.03901996370235935
21,33,22,0.009981851179673321
22,36,18,0.008166969147005444
23,38,47,0.02132486388384755
24,42,55,0.0249546279491833
25,55,84,0.038112522686025406
26,57,59,0.02676950998185118
27,44,80,0.036297640653357534
28,48,112,0.050816696914700546
29,40,63,0.028584392014519056
30,63,12,0.0054446460980036296
31,35,24,0.010889292196007259
32,29,8,0.003629764065335753
33,67,5,0.002268602540834846
34,45,95,0.04310344827586207
35,39,45,0.02041742286751361
36,26,2,0.0009074410163339383
37,28,2,0.0009074410163339383
38,64,13,0.005898366606170599
39,54,114,0.05172413793103448
40,66,5,0.002268602540834846
41,27,6,0.0027223230490018148
42,23,1,0.00045372050816696913
43,25,1,0.00045372050816696913
44,69,2,0.0009074410163339383
45,65,2,0.0009074410163339383
46,24,2,0.0009074410163339383
47,71,2,0.0009074410163339383
