,ERA,Count,Frequency
0,3.5,50,0.04118616144975288
1,2.8,4,0.0032948929159802307
2,3.9,70,0.057660626029654036
3,4.2,82,0.06754530477759473
4,3.3,38,0.03130148270181219
5,4.1,71,0.05848434925864909
6,3.6,84,0.06919275123558484
7,3.7,78,0.0642504118616145
8,3.1,20,0.016474464579901153
9,3.2,31,0.025535420098846788
10,4.3,68,0.05601317957166392
11,4.4,58,0.047775947281713346
12,2.9,7,0.005766062602965404
13,4.5,51,0.042009884678747944
14,3.8,95,0.07825370675453047
15,3.4,53,0.04365733113673806
16,3.0,14,0.011532125205930808
17,2.5,1,0.0008237232289950577
18,4.6,57,0.04695222405271829
19,4.0,97,0.07990115321252059
20,4.8,35,0.028830313014827018
21,4.7,37,0.030477759472817133
22,2.7,1,0.0008237232289950577
23,4.9,29,0.023887973640856673
24,5.0,22,0.018121911037891267
25,5.3,8,0.006589785831960461
26,5.4,7,0.005766062602965404
27,5.5,7,0.005766062602965404
28,5.8,1,0.0008237232289950577
29,5.2,21,0.01729818780889621
30,5.6,2,0.0016474464579901153
31,6.4,1,0.0008237232289950577
32,6.0,1,0.0008237232289950577
33,5.1,11,0.009060955518945634
34,5.7,2,0.0016474464579901153
