,Runs,Count,Frequency
0,691,13,0.01070840197693575
1,779,3,0.002471169686985173
2,743,6,0.004942339373970346
3,528,2,0.0016474464579901153
4,625,3,0.002471169686985173
5,720,7,0.005766062602965404
6,798,7,0.005766062602965404
7,573,6,0.004942339373970346
8,701,6,0.004942339373970346
9,676,7,0.005766062602965404
10,586,3,0.002471169686985173
11,645,4,0.0032948929159802307
12,790,5,0.004118616144975288
13,582,1,0.0008237232289950577
14,562,1,0.0008237232289950577
15,740,7,0.005766062602965404
16,725,3,0.002471169686985173
17,468,1,0.0008237232289950577
18,639,5,0.004118616144975288
19,713,8,0.006589785831960461
20,595,3,0.002471169686985173
21,694,5,0.004118616144975288
22,736,4,0.0032948929159802307
23,786,4,0.0032948929159802307
24,631,3,0.002471169686985173
25,633,4,0.0032948929159802307
26,806,2,0.0016474464579901153
27,775,4,0.0032948929159802307
28,649,4,0.0032948929159802307
29,666,5,0.004118616144975288
30,744,3,0.002471169686985173
31,611,4,0.0032948929159802307
32,749,6,0.004942339373970346
33,613,6,0.004942339373970346
34,687,4,0.0032948929159802307
35,680,6,0.004942339373970346
36,695,4,0.0032948929159802307
37,678,3,0.002471169686985173
38,594,2,0.0016474464579901153
39,729,10,0.008237232289950576
40,681,6,0.004942339373970346
41,831,3,0.002471169686985173
42,626,2,0.0016474464579901153
43,643,4,0.0032948929159802307
44,742,4,0.0032948929159802307
45,511,1,0.0008237232289950577
46,617,5,0.004118616144975288
47,637,8,0.006589785831960461
48,543,1,0.0008237232289950577
49,585,1,0.0008237232289950577
50,603,3,0.002471169686985173
51,663,4,0.0032948929159802307
52,654,8,0.006589785831960461
53,534,1,0.0008237232289950577
54,622,2,0.0016474464579901153
55,648,5,0.004118616144975288
56,588,1,0.0008237232289950577
57,558,3,0.002471169686985173
58,486,1,0.0008237232289950577
59,706,7,0.005766062602965404
60,739,6,0.004942339373970346
61,537,2,0.0016474464579901153
62,628,3,0.002471169686985173
63,519,2,0.0016474464579901153
64,640,7,0.005766062602965404
65,454,1,0.0008237232289950577
66,566,1,0.0008237232289950577
67,685,4,0.0032948929159802307
68,707,8,0.006589785831960461
69,472,1,0.0008237232289950577
70,708,10,0.008237232289950576
71,580,2,0.0016474464579901153
72,584,2,0.0016474464579901153
73,493,2,0.0016474464579901153
74,513,3,0.002471169686985173
75,557,1,0.0008237232289950577
76,503,1,0.0008237232289950577
77,488,1,0.0008237232289950577
78,662,6,0.004942339373970346
79,568,2,0.0016474464579901153
80,461,1,0.0008237232289950577
81,799,4,0.0032948929159802307
82,754,1,0.0008237232289950577
83,738,9,0.007413509060955519
84,629,9,0.007413509060955519
85,652,4,0.0032948929159802307
86,614,5,0.004118616144975288
87,741,7,0.005766062602965404
88,642,6,0.004942339373970346
89,755,5,0.004118616144975288
90,675,6,0.004942339373970346
91,668,4,0.0032948929159802307
92,641,6,0.004942339373970346
93,608,3,0.002471169686985173
94,704,6,0.004942339373970346
95,548,2,0.0016474464579901153
96,619,7,0.005766062602965404
97,661,2,0.0016474464579901153
98,659,4,0.0032948929159802307
99,696,7,0.005766062602965404
100,618,2,0.0016474464579901153
101,684,7,0.005766062602965404
102,669,8,0.006589785831960461
103,776,4,0.0032948929159802307
104,620,3,0.002471169686985173
105,653,3,0.002471169686985173
106,667,9,0.007413509060955519
107,673,10,0.008237232289950576
108,647,3,0.002471169686985173
109,671,3,0.002471169686985173
110,572,1,0.0008237232289950577
111,751,3,0.002471169686985173
112,541,1,0.0008237232289950577
113,634,7,0.005766062602965404
114,677,3,0.002471169686985173
115,690,6,0.004942339373970346
116,583,3,0.002471169686985173
117,682,10,0.008237232289950576
118,796,4,0.0032948929159802307
119,655,3,0.002471169686985173
120,712,6,0.004942339373970346
121,688,4,0.0032948929159802307
122,570,4,0.0032948929159802307
123,664,4,0.0032948929159802307
124,710,5,0.004118616144975288
125,724,7,0.005766062602965404
126,601,2,0.0016474464579901153
127,646,4,0.0032948929159802307
128,758,8,0.006589785831960461
129,735,9,0.007413509060955519
130,552,1,0.0008237232289950577
131,714,8,0.006589785831960461
132,716,4,0.0032948929159802307
133,550,2,0.0016474464579901153
134,615,8,0.006589785831960461
135,609,3,0.002471169686985173
136,531,1,0.0008237232289950577
137,730,7,0.005766062602965404
138,686,10,0.008237232289950576
139,770,6,0.004942339373970346
140,616,1,0.0008237232289950577
141,719,5,0.004118616144975288
142,859,5,0.004118616144975288
143,844,1,0.0008237232289950577
144,692,3,0.002471169686985173
145,802,2,0.0016474464579901153
146,822,3,0.002471169686985173
147,769,2,0.0016474464579901153
148,867,2,0.0016474464579901153
149,665,4,0.0032948929159802307
150,587,3,0.002471169686985173
151,605,4,0.0032948929159802307
152,847,2,0.0016474464579901153
153,734,6,0.004942339373970346
154,624,4,0.0032948929159802307
155,737,3,0.002471169686985173
156,767,6,0.004942339373970346
157,600,2,0.0016474464579901153
158,727,2,0.0016474464579901153
159,804,6,0.004942339373970346
160,607,1,0.0008237232289950577
161,532,1,0.0008237232289950577
162,591,3,0.002471169686985173
163,590,2,0.0016474464579901153
164,757,5,0.004118616144975288
165,841,2,0.0016474464579901153
166,866,1,0.0008237232289950577
167,731,9,0.007413509060955519
168,760,3,0.002471169686985173
169,851,3,0.002471169686985173
170,764,5,0.004118616144975288
171,807,4,0.0032948929159802307
172,593,4,0.0032948929159802307
173,683,5,0.004118616144975288
174,711,3,0.002471169686985173
175,672,3,0.002471169686985173
176,750,8,0.006589785831960461
177,630,1,0.0008237232289950577
178,805,4,0.0032948929159802307
179,698,5,0.004118616144975288
180,830,1,0.0008237232289950577
181,809,4,0.0032948929159802307
182,670,3,0.002471169686985173
183,811,3,0.002471169686985173
184,820,5,0.004118616144975288
185,610,5,0.004118616144975288
186,756,3,0.002471169686985173
