,ERA,Count,Frequency
0,2.8,38,0.01630901287553648
1,3.8,168,0.07210300429184549
2,3.5,95,0.0407725321888412
3,2.0,5,0.002145922746781116
4,3.0,52,0.022317596566523604
5,2.4,21,0.009012875536480686
6,2.9,35,0.015021459227467811
7,2.2,13,0.005579399141630901
8,2.7,31,0.013304721030042918
9,3.6,148,0.06351931330472103
10,3.4,129,0.05536480686695279
11,3.1,68,0.029184549356223177
12,2.1,9,0.0038626609442060085
13,1.8,3,0.0012875536480686696
14,2.5,14,0.006008583690987125
15,2.6,25,0.01072961373390558
16,3.2,83,0.035622317596566526
17,3.3,80,0.034334763948497854
18,1.7,1,0.00042918454935622315
19,2.3,11,0.004721030042918455
20,1.9,1,0.00042918454935622315
21,5.1,19,0.00815450643776824
22,3.7,129,0.05536480686695279
23,3.9,122,0.05236051502145923
24,4.2,132,0.05665236051502146
25,4.1,105,0.045064377682403435
26,4.0,157,0.06738197424892704
27,4.3,109,0.046781115879828326
28,4.9,45,0.019313304721030045
29,4.4,98,0.04206008583690987
30,4.6,89,0.03819742489270386
31,4.5,76,0.03261802575107296
32,5.3,11,0.004721030042918455
33,4.7,53,0.022746781115879827
34,5.0,36,0.015450643776824034
35,4.8,53,0.022746781115879827
36,5.4,10,0.004291845493562232
37,5.6,3,0.0012875536480686696
38,6.1,2,0.0008583690987124463
39,6.7,1,0.00042918454935622315
40,5.2,31,0.013304721030042918
41,6.2,1,0.00042918454935622315
42,6.0,3,0.0012875536480686696
43,5.5,9,0.0038626609442060085
44,5.8,3,0.0012875536480686696
45,6.4,1,0.00042918454935622315
46,5.7,2,0.0008583690987124463
