,Percentage,Count,Frequency
0,50,115,0.04935622317596566
1,30,6,0.002575107296137339
2,32,20,0.008583690987124463
3,58,79,0.03390557939914163
4,59,77,0.03304721030042918
5,49,87,0.03733905579399142
6,51,113,0.04849785407725322
7,67,7,0.0030042918454935624
8,46,117,0.05021459227467811
9,60,55,0.023605150214592276
10,53,124,0.05321888412017167
11,61,47,0.02017167381974249
12,34,23,0.009871244635193134
13,37,38,0.01630901287553648
14,41,91,0.03905579399141631
15,31,8,0.0034334763948497852
16,43,82,0.0351931330472103
17,74,1,0.00042918454935622315
18,56,104,0.04463519313304721
19,47,72,0.030901287553648068
20,62,50,0.02145922746781116
21,52,89,0.03819742489270386
22,33,22,0.00944206008583691
23,36,18,0.007725321888412017
24,38,47,0.02017167381974249
25,42,55,0.023605150214592276
26,55,89,0.03819742489270386
27,69,4,0.0017167381974248926
28,57,62,0.026609442060085836
29,44,80,0.034334763948497854
30,48,113,0.04849785407725322
31,40,64,0.027467811158798282
32,63,19,0.00815450643776824
33,35,24,0.010300429184549357
34,29,8,0.0034334763948497852
35,45,96,0.041201716738197426
36,71,3,0.0012875536480686696
37,39,45,0.019313304721030045
38,26,2,0.0008583690987124463
39,65,8,0.0034334763948497852
40,28,2,0.0008583690987124463
41,64,19,0.00815450643776824
42,66,12,0.005150214592274678
43,54,117,0.05021459227467811
44,68,4,0.0017167381974248926
45,27,6,0.002575107296137339
46,23,1,0.00042918454935622315
47,25,1,0.00042918454935622315
48,70,2,0.0008583690987124463
49,24,2,0.0008583690987124463
