,Percentage,Count,Frequency
0,67,2,0.01818181818181818
1,60,8,0.07272727272727272
2,69,2,0.01818181818181818
3,62,13,0.11818181818181818
4,71,1,0.00909090909090909
5,65,6,0.05454545454545454
6,66,7,0.06363636363636363
7,68,4,0.03636363636363636
8,59,10,0.09090909090909091
9,58,9,0.08181818181818182
10,64,6,0.05454545454545454
11,63,7,0.06363636363636363
12,61,12,0.10909090909090909
13,57,3,0.02727272727272727
14,70,2,0.01818181818181818
15,56,12,0.10909090909090909
16,55,2,0.01818181818181818
17,52,1,0.00909090909090909
18,54,2,0.01818181818181818
19,51,1,0.00909090909090909
