,ERA,Count,Frequency
0,3.0,4,0.08695652173913043
1,3.2,2,0.043478260869565216
2,3.3,2,0.043478260869565216
3,2.6,1,0.021739130434782608
4,3.4,7,0.15217391304347827
5,3.5,4,0.08695652173913043
6,3.6,3,0.06521739130434782
7,3.1,2,0.043478260869565216
8,4.6,2,0.043478260869565216
9,3.7,5,0.10869565217391304
10,3.9,4,0.08695652173913043
11,4.2,2,0.043478260869565216
12,3.8,3,0.06521739130434782
13,4.1,1,0.021739130434782608
14,4.8,1,0.021739130434782608
15,4.0,1,0.021739130434782608
16,4.5,1,0.021739130434782608
17,4.3,1,0.021739130434782608
